date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:55:57	36170/36170	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:55:56%20GMT	https://soobadina.co.uk/work	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/work.html	(from https://soobadina.co.uk/product)
18:55:57	15449/15449	---M--	200	added ('OK')	image/png	etag:%22a09db80167cc1538ba5b328c9e2597fe%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/156ce0a9-d44f-4a77-a87f-058828d65fd4_rwc_19x0x2535x1182x4096.png?h=b3ffcd20c3d669d99cd61c195b5b5baa	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/156ce0a9-d44f-4a77-a87f-058828d65fd4_rwc_19x0x2535x1182x4096ad17.png	(from https://soobadina.co.uk/product)
18:55:59	1998779/1998779	---M--	200	added ('OK')	image/jpeg	etag:%22954df253f3e8e8aeed06500ff872bea3%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/ecd92d02-2cfa-4efe-8a98-03fd43d7e646_rwc_0x14x2655x3989x4096.jpg?h=a6052e326142dd2858d0e8bb56443b57	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf3.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/ecd92d02-2cfa-4efe-8a98-03fd43d7e646_rwc_0x14x2655x3989x4096ac35.jpg	(from https://pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/fe2c8dd591d3c1753e42f69f2cfabedb1620383083.css?h=485f255c21a3fe4b7bcf74be71841973)
18:55:59	47739/47739	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:55:59%20GMT	https://soobadina.co.uk/kudi	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/kudi.html	(from https://soobadina.co.uk/product)
18:56:00	2555/2555	---M--	200	added ('OK')	image/png	etag:%22c84faa96f7d4667b1e34e0a052007b92%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/3cb071e5-b19a-420e-ac8c-1f81dc906960_rwc_0x0x2450x1837x32.png?h=70b7bd09395a1899722c611744487d5e	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/3cb071e5-b19a-420e-ac8c-1f81dc906960_rwc_0x0x2450x1837x32a88e.png	(from https://soobadina.co.uk/product)
18:56:00	57418/57418	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:00%20GMT	https://soobadina.co.uk/ogun	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/ogun.html	(from https://soobadina.co.uk/product)
18:56:01	1824/1824	---M--	200	added ('OK')	image/png	etag:%22254e1a0dd10e95edba042c79a28bdda6%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/b1f38d6e-e243-4736-b322-a2983ca06d40_rwc_367x0x1188x891x32.png?h=63f76c0eac9e7a298e6dc0595d1adb12	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/b1f38d6e-e243-4736-b322-a2983ca06d40_rwc_367x0x1188x891x32d974.png	(from https://soobadina.co.uk/product)
18:56:01	39028/39028	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:01%20GMT	https://soobadina.co.uk/street-crime	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/street-crime.html	(from https://soobadina.co.uk/product)
18:56:02	1952/1952	---M--	200	added ('OK')	image/png	etag:%22e910538bd6bb9606b9e05becade96d2c%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/538d81c5-b7ae-40c5-a706-5dce506049ab_rwc_164x0x2580x1935x32.png?h=8fc388d870016180f72f5162234444d1	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/538d81c5-b7ae-40c5-a706-5dce506049ab_rwc_164x0x2580x1935x3245df.png	(from https://soobadina.co.uk/product)
18:56:03	53247/53247	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:02%20GMT	https://soobadina.co.uk/peer-group	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/peer-group.html	(from https://soobadina.co.uk/product)
18:56:04	1608/1608	---M--	200	added ('OK')	image/png	etag:%224053d7f87c7e2c216cda987e00335489%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1fba8ae9-41d0-4f3f-8dd0-74a1f644757c_rwc_283x0x1354x1016x32.png?h=70f7ac372aeb1d9b78558fdc01865bd0	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1fba8ae9-41d0-4f3f-8dd0-74a1f644757c_rwc_283x0x1354x1016x322bfa.png	(from https://soobadina.co.uk/product)
18:56:04	42448/42448	---M--	200	added ('OK')	text/css	etag:%225312ff53908f4d68fb13a9e5f1da0828%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/baf16d3bef590d690cbd58252a0dbec21620383083.css?h=7c9db2d82cbae0bfdb26e71606f89f87	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/baf16d3bef590d690cbd58252a0dbec2162038308397bf.css	(from https://soobadina.co.uk/work)
18:56:05	569/569	---M--	200	added ('OK')	image/png	etag:%223eddfb97f324c17e1017b4aeb99e1e77%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1f4a2a9b-36b2-4e27-a8d3-58ea049407a8_carw_4x3x32.png?h=533ff258a6cbdf13372a9422b05e1fcd	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1f4a2a9b-36b2-4e27-a8d3-58ea049407a8_carw_4x3x3205da.png	(from https://soobadina.co.uk/work)
18:56:05	77479/77479	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:05%20GMT	https://soobadina.co.uk/feathers	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/feathers.html	(from https://soobadina.co.uk/work)
18:56:06	76684/76684	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:06%20GMT	https://soobadina.co.uk/dress-a-girl	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/dress-a-girl.html	(from https://soobadina.co.uk/work)
18:56:06	1659/1659	---M--	200	added ('OK')	image/png	etag:%22871ea3dd802d1c43ed8122830b7306a3%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/315184b8-4997-426e-94c2-f45917884846_rwc_409x457x812x609x32.png?h=96e134e0afc7d90ce37258057474dd51	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/315184b8-4997-426e-94c2-f45917884846_rwc_409x457x812x609x32f0a1.png	(from https://soobadina.co.uk/work)
18:56:07	51663/51663	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:07%20GMT	https://soobadina.co.uk/octagon-1	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/octagon-1.html	(from https://soobadina.co.uk/work)
18:56:08	1042/1042	---M--	200	added ('OK')	image/png	etag:%2272c33936e2b2af74e201f2cc9a6ac247%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/aa141c22-8c37-4e4d-aa53-52ed9e2ffbf3_carw_4x3x32.png?h=bdb7a8613b154f078b7d5bcfe58bceff	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/aa141c22-8c37-4e4d-aa53-52ed9e2ffbf3_carw_4x3x32a163.png	(from https://soobadina.co.uk/work)
18:56:08	59955/59955	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:08%20GMT	https://soobadina.co.uk/joyinc-campaign	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/joyinc-campaign.html	(from https://soobadina.co.uk/work)
18:56:09	2327/2327	---M--	200	added ('OK')	image/png	etag:%22d3f9cd92f95f3c5143118876a8e154db%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/9055f3cd-5683-4e62-95ec-3db531883963_carw_4x3x32.png?h=ec2d757f5d19577fcced8f09297958ae	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/9055f3cd-5683-4e62-95ec-3db531883963_carw_4x3x32a05c.png	(from https://soobadina.co.uk/work)
18:56:10	395/395	---M--	200	added ('OK')	image/png	etag:%222fa479d8a4b62fa5cc70a0af81c2c745%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/fd042a0a-e89c-46d5-992c-0119e761a77d_carw_4x3x32.png?h=b041f71217aadcb77b583c04c684a1eb	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/fd042a0a-e89c-46d5-992c-0119e761a77d_carw_4x3x3298a9.png	(from https://soobadina.co.uk/work)
18:56:10	46189/46189	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:10%20GMT	https://soobadina.co.uk/retail-christianity-chude-jideonwo	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/retail-christianity-chude-jideonwo.html	(from https://soobadina.co.uk/work)
18:56:11	1612/1612	---M--	200	added ('OK')	image/png	etag:%22ca4bd6c99aa8260c5152defb69edac76%22	https://pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/c2bf7c43-1377-4f10-8dfc-cfb764af481b_carw_4x3x32.png?h=054cd14c99e110a9e50520ec03825007	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf1.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/c2bf7c43-1377-4f10-8dfc-cfb764af481b_carw_4x3x321bb1.png	(from https://soobadina.co.uk/work)
18:56:12	1365/1365	---M--	200	added ('OK')	image/png	etag:%22a681ab31bb988c0097fbd865320a87d1%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/d016bb7e-fb30-44b4-b08c-2e3685fd1e24_carw_4x3x32.png?h=2470bc4833ff959331c5025094b93b4b	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/d016bb7e-fb30-44b4-b08c-2e3685fd1e24_carw_4x3x3217a5.png	(from https://soobadina.co.uk/work)
18:56:12	44995/44995	---M--	200	added ('OK')	text/html	date:Mon,%2014%20Jun%202021%2017:56:12%20GMT	https://soobadina.co.uk/gemzone-fourthcanvas	C:/Users/Samperfect/Downloads/Tope/soobadina.co.uk/gemzone-fourthcanvas.html	(from https://soobadina.co.uk/work)
18:56:13	1130/1130	---M--	200	added ('OK')	image/png	etag:%221c65b92d70f2f316643ca1e6752fca1c%22	https://pro2-bar-s3-cdn-cf3.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/47c49736-f9d0-45ba-bcee-68be3b50ba32_carw_4x3x32.png?h=08e171f470d1933bd4d44986fcec818f	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf3.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/47c49736-f9d0-45ba-bcee-68be3b50ba32_carw_4x3x329e3e.png	(from https://soobadina.co.uk/work)
18:56:13	78501/78501	---M--	200	added ('OK')	text/css	etag:%2286ffe1ea090e0381baec82d4646b9b92%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/830844ac4f91f51e506c8d039089f0fa1620383083.css?h=97292ac6173fc6fc422f7db04bf8004c	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/830844ac4f91f51e506c8d039089f0fa1620383083ec2b.css	(from https://soobadina.co.uk/kudi)
18:56:16	1104133/1104133	---M--	200	added ('OK')	image/png	etag:%22ee7dbc1dd2afce721b0353553b051cc5%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1fba8ae9-41d0-4f3f-8dd0-74a1f644757c_rwc_283x0x1354x1016x1354.png?h=99b61c08563ee7ba4e99c18ce2e4c490	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1fba8ae9-41d0-4f3f-8dd0-74a1f644757c_rwc_283x0x1354x1016x13549eb1.png	(from https://soobadina.co.uk/kudi)
18:56:20	1718216/1718216	---M--	200	added ('OK')	image/png	etag:%2280947a91e090539883cab627cb42c023%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/b1f38d6e-e243-4736-b322-a2983ca06d40_rwc_367x0x1188x891x1188.png?h=02c767073fd510bf517f5e95cddf3fd8	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/b1f38d6e-e243-4736-b322-a2983ca06d40_rwc_367x0x1188x891x11883d9d.png	(from https://soobadina.co.uk/kudi)
18:56:20	74019/74019	---M--	200	added ('OK')	text/css	etag:%227d670e5f2876c65b645b01be6db8947a%22	https://pro2-bar-s3-cdn-cf5.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/65ae3ff65e47b0ed82fa52a7ce8fa2bc1620383083.css?h=aff223a533990eb93099b524ff52bd5c	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf5.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/65ae3ff65e47b0ed82fa52a7ce8fa2bc1620383083ab57.css	(from https://soobadina.co.uk/ogun)
18:56:31	93694/93694	---M--	200	added ('OK')	image/png	etag:%22193c8da5a8b6c7b03b52343fcce92969%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/a888a480-a0e7-4568-af9d-82b0805f4e53.png?h=f4e69b4c643b60894d96f6194ad75ff9	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/a888a480-a0e7-4568-af9d-82b0805f4e5372c7.png	(from https://soobadina.co.uk/ogun)
18:56:33	205970/205970	---M--	200	added ('OK')	image/png	etag:%2288c5bedf66e154c419d0f66086b9036d%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/a888a480-a0e7-4568-af9d-82b0805f4e53_rw_1920.png?h=ce1e92d30e3882d6e5a5d3b370a8a6b3	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/a888a480-a0e7-4568-af9d-82b0805f4e53_rw_19207149.png	(from https://soobadina.co.uk/ogun)
18:56:33	5433042/5433042	---M--	200	added ('OK')	image/png	etag:%2268c781d3e77a98a279d40b1201a82d7e%22	https://pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/538d81c5-b7ae-40c5-a706-5dce506049ab_rwc_164x0x2580x1935x2580.png?h=5afd0c15bbd2c06d50ebc38c4a5f64c3	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf4.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/538d81c5-b7ae-40c5-a706-5dce506049ab_rwc_164x0x2580x1935x25803bee.png	(from https://soobadina.co.uk/kudi)
18:56:41	1323151/1323151	---M--	200	added ('OK')	image/png	etag:%22148842b1799c0e6fcf939535a47157da%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1a6a8db2-5456-4ece-bede-53d0a8f61547.png?h=c904e7e01e82d491d977bc4c8e6d0911	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1a6a8db2-5456-4ece-bede-53d0a8f6154720ba.png	(from https://soobadina.co.uk/ogun)
18:56:51	5336250/5336250	---M--	200	added ('OK')	image/png	etag:%222291af4611acddee59bab2ae1a59366e%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/39d143d5-6d5e-41ab-923b-902284fb91ce.png?h=a80391a43519ee339cea6852839c4918	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/39d143d5-6d5e-41ab-923b-902284fb91ce7cc7.png	(from https://soobadina.co.uk/ogun)
18:56:51	2736403/2736403	---M--	200	added ('OK')	image/png	etag:%220cb94a5ce36c4153916615519b4cff9d%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/39d143d5-6d5e-41ab-923b-902284fb91ce_rw_1920.png?h=a3b77660878cb7a5fab8f62011de38a6	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/39d143d5-6d5e-41ab-923b-902284fb91ce_rw_1920e544.png	(from https://soobadina.co.uk/ogun)
18:56:51	2403386/2403386	---M--	200	added ('OK')	image/png	etag:%22637818139d25f50def85cf456b292dbd%22	https://pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1a6a8db2-5456-4ece-bede-53d0a8f61547_rw_3840.png?h=04eae3c085f1b17b88f5e5a07a9fe528	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/1a6a8db2-5456-4ece-bede-53d0a8f61547_rw_3840d876.png	(from https://soobadina.co.uk/ogun)
18:56:51	518042/518042	---M--	200	added ('OK')	image/png	etag:%2234f3d2ff6b7b631b0fe6d75cbeee11d3%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/34ec14e9-24ed-4f08-be32-427bb5488bac.png?h=9e80c3c768cde9e2039434c0ec657664	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/34ec14e9-24ed-4f08-be32-427bb5488bac88e5.png	(from https://soobadina.co.uk/ogun)
18:56:54	505362/505362	---M--	200	added ('OK')	image/png	etag:%22eebcc47fbbdfc0622e8ed47603cdc1d2%22	https://pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/34ec14e9-24ed-4f08-be32-427bb5488bac_rw_3840.png?h=84b303034c83c9e65b37e07f891976ba	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf2.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/34ec14e9-24ed-4f08-be32-427bb5488bac_rw_3840287f.png	(from https://soobadina.co.uk/ogun)
18:56:57	14428/14428	---M--	200	added ('OK')	image/png	etag:%2231299f8605494450c605ddda5d4bf139%22	https://pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/700c96e7-48ee-4862-8df2-6eff30ccdf7c.png?h=db8b72f05450f54570e76b4805b850c3	C:/Users/Samperfect/Downloads/Tope/pro2-bar-s3-cdn-cf6.myportfolio.com/9e21c172-a0d6-4948-82c4-4c68e1f79e5e/700c96e7-48ee-4862-8df2-6eff30ccdf7c80b0.png	(from https://soobadina.co.uk/ogun)
